travel,cars,food,credit,date
3.4312512164062583,3.772783123467961,4.733652653413292,6.495909423722579,2012-02-01
2.7919361458445455,3.061695521718673,4.15347158012236,4.685739998234247,2012-03-01
2.6301548452661017,3.5111488155579,3.908104610900587,4.563111988676616,2012-04-01
2.5695333464286625,3.0354500739032444,3.2038615868795453,4.6283635900926035,2012-05-01
2.4865971854424713,2.9140648777568834,2.964621133743211,3.508961117525238,2012-06-01
2.1727042712167095,2.5753345668889995,3.069690884608464,3.409958687790637,2012-07-01
1.932449742081825,2.474453626848443,2.8935535471521354,2.8924459869052215,2012-08-01
1.7115345868091916,1.7937123241357458,2.520142391744719,3.5224614488526838,2012-09-01
1.4504530396688065,1.8215981124396392,2.5134032240507374,2.4131842247809026,2012-10-01
0.9175045253494735,1.8617864544070153,2.321643270576544,1.2881566141604353,2012-11-01
0.7910547731732183,1.1679224277866036,2.2263759454479906,1.595289151859823,2012-12-01
1.0287059250574153,1.9602068837148752,2.111810094650309,1.123902583009847,2013-01-01
0.9866799780106009,2.2612093633480796,2.632870287716769,1.0867766718593717,2013-02-01
1.0580868968866037,1.730559215329869,2.4303889310930598,1.2769063380542305,2013-03-01
1.3440864834264272,1.4951703552352376,2.271712164480228,0.9202725854875423,2013-04-01
0.8029559263192185,2.17427131745947,2.38474638625655,2.0914263281434486,2013-05-01
0.8513043609748457,1.4910695040140767,2.0909799399598215,2.1319273221257857,2013-06-01
0.9297775895312862,2.7984208733201488,1.9831532568561216,2.289431187612651,2013-07-01
0.788451395922531,1.9782506290879829,1.9770267407706836,2.1128018527452377,2013-08-01
1.2299097954319855,1.0932869355614765,2.087610356112831,2.241055000355971,2013-09-01
0.7051433239005274,1.1876065136481753,1.8253954676561055,0.967523745133602,2013-10-01
0.5638171302917719,1.3754254995773414,1.9074907832009678,1.1149023621248833,2013-11-01
0.6117936539115867,1.308991709794536,1.9225007476102902,0.7346430297351654,2013-12-01
0.6073307214818361,1.2335360473251769,1.89799468326854,0.8673962877883804,2014-01-01
0.6047273442311485,1.6354194669989377,2.0128668598704937,1.523287384780113,2014-02-01
0.5809250379391482,1.5558629533084176,2.151326123401381,1.2724062276117485,2014-03-01
0.5206754501375204,1.7026734270259754,1.957115563493012,1.8382951157538436,2014-04-01
0.5113776742422075,1.3171934122368576,2.1338655525578845,2.3490576509755354,2014-05-01
0.5790654827600852,1.6108143596719728,2.329914067291884,3.388583163188848,2014-06-01
0.6028677890520863,2.2136394891826146,2.343698728484119,3.8948455879680584,2014-07-01
1.7252952951342546,2.8222058104028815,2.277532354761394,4.6508641423050125,2014-08-01
2.3880407609521552,3.261817061311322,2.8445414184686357,4.47760989026946,2014-09-01
2.0332376327870167,4.287029866601529,3.2142766642247893,4.057974591508026,2014-10-01
2.407380134814406,4.3263980383246725,3.5895257744578366,5.107625352216922,2014-11-01
2.8778475951172364,4.236999481703367,4.112117596545657,4.352731825490589,2014-12-01
3.4230691736183827,4.428919318853693,3.873489795017865,4.883744857703449,2015-01-01
4.331647834108356,5.820748223315678,3.9096362399219458,5.91877025947428,2015-02-01
4.2423891855133515,5.855195373573428,4.634709418633476,5.519385457704013,2015-03-01
3.8827512138826505,4.495353108636498,4.3979195719313156,5.719640372394457,2015-04-01
3.816922960543836,4.516677534986535,4.408947300885103,6.383406662660533,2015-05-01
4.3465242755408555,4.466647150088373,4.54893819343735,5.953646115403514,2015-06-01
4.473717849788736,4.860328867319811,4.362079452831506,5.284254687084335,2015-07-01
3.7094406711940184,4.471568171553765,4.135092031866047,6.351905889563159,2015-08-01
3.121077412538621,3.8908876386373916,3.999389700573605,5.692639709739566,2015-09-01
3.0935559958884946,3.960602109397126,3.8036475116438773,3.9657223274371476,2015-10-01
3.3821589596790065,4.390371317374781,3.95099022349865,5.593637280004964,2015-11-01
3.1273999001474335,3.4914647296963284,3.643439116009687,5.0131230329248035,2015-12-01
2.8908644813706745,4.195990969491758,3.6020851324329834,4.844368891331732,2016-01-01
3.7514666182408325,4.560966728175071,4.262829892247419,4.039974149738098,2016-02-01
3.6212977557064527,5.06045040691246,3.541432623187152,4.495610332039388,2016-03-01
3.347571233348442,4.6093567725847695,3.952828178324281,4.351606797879969,2016-04-01
3.582990919017764,4.022114877714539,3.739625418551056,4.583362485667784,2016-05-01
3.5978673604502647,3.8449581049603907,3.7472835636578523,5.41475788991631,2016-06-01
3.3617038527093177,3.868743042043124,3.7423823507895024,5.1222507111549875,2016-07-01
3.0626873799160563,2.6122422278794466,3.638231577337065,5.442883580181822,2016-08-01
1.8257112748036335,2.441646817079156,3.338032289150627,3.3480821692065112,2016-09-01
2.665114482632479,2.6803163581507166,3.055293571807686,2.918321621949493,2016-10-01
2.3787429850568422,3.2134270169016244,3.0283369010317607,2.982448195754859,2016-11-01
2.036584832109329,2.7123029976757707,2.937051811358742,3.0454497419496054,2016-12-01
2.716066294538793,2.963275092410813,3.177517567712164,2.9509474226574866,2017-01-01
2.9942557493265536,3.0879409695341025,3.5595058456391926,2.940822174161902,2017-02-01
3.1962034417727487,3.1962034417727483,3.1962034417727483,3.1962034417727483,2017-03-01
